Codeword,Es,SER,noise_power,Tx_SNR,Rx_SNR,PL,Avg_BER,BLER,Tx_EbN0,Rx_EbN0,Bit_Rate,N_subcarriers
0,0.6352150032982081,0.0,16.779820106392535,50,[4.07603598 4.26464845],17.141290314138715,0.0,0.0,44.21063807519175,23.815535807840064,512000.0,9
1,0.6352150032982081,0.0,16.779820106392535,50,[4.01733674 4.35685183],16.966166712984062,0.0,0.0,44.21063807519175,23.82177948719493,512000.0,9
2,0.6352150032982081,0.0,16.779820106392535,50,[4.06974205 3.8656201 ],17.17864668378253,0.0,0.0,44.21063807519175,23.70703454391232,512000.0,9
3,0.6352150032982081,0.0,18.708438747464555,50,[4.32273051 4.48792888],16.93581203091923,0.0,0.0,44.21063807519175,23.93491660821133,512000.0,9
4,0.6352150032982081,0.0,19.394180312726334,50,[4.04217825 4.33541251],17.01820847709707,0.0,0.0,44.21063807519175,23.823571761276767,512000.0,9
5,0.6352150032982081,0.0,18.925852652000742,50,[4.00581755 4.14504195],17.130037022855525,0.0,0.0,44.21063807519175,23.766021471123963,512000.0,9
6,0.6352150032982081,0.0,18.879457656340662,50,[4.37550373 4.60957058],16.980378866325104,0.0,0.0,44.21063807519175,23.976772302807404,512000.0,9
7,0.6352150032982081,0.0,16.952916420469677,50,[4.15459661 4.42801947],17.055326870585418,0.0,0.0,44.21063807519175,23.876531522837432,512000.0,9
8,0.6352150032982081,0.0,16.779820106392535,50,[4.69266709 4.6335487 ],16.80169532867373,0.0,0.0,44.21063807519175,24.059078118808394,512000.0,9
9,0.6352150032982081,0.0,16.779820106392535,50,[4.72379729 4.66340838],16.849175270555207,0.0,0.0,44.21063807519175,24.073229873393053,512000.0,9
10,0.6352150032982081,0.0,16.779820106392535,50,[4.21756648 4.13142865],17.106709382302107,0.0,0.0,44.21063807519175,23.818577961104218,512000.0,9
11,0.6352150032982081,0.0,16.779820106392535,50,[4.60642436 4.51948204],16.856405699578147,0.0,0.0,44.21063807519175,24.01182102701057,512000.0,9
0,0.6352150032982081,0.0,26.779820106392535,40,[0.55247486 0.54053272],16.508021143842534,0.0,0.0,34.21063807519175,14.403494711184992,512000.0,9
1,0.6352150032982081,0.0,26.779820106392535,40,[0.44014384 0.43172676],16.89510863108878,0.0,0.0,34.21063807519175,13.912695831972826,512000.0,9
2,0.6352150032982081,0.0,26.779820106392535,40,[0.59793118 0.45823098],16.191529403224962,0.0,0.0,34.21063807519175,14.29096325492543,512000.0,9
3,0.6352150032982081,0.0078125,28.708438747464555,40,[0.44166921 0.56676438],16.597374266447183,0.00390625,0.0,34.21063807519175,14.19519988446335,512000.0,9
4,0.6352150032982081,0.111328125,29.394180312726334,40,[0.598692  0.6176382],16.389671034385948,0.0556640625,0.0,34.21063807519175,14.63536860252271,512000.0,9
5,0.6352150032982081,0.025390625,28.925852652000742,40,[0.45720711 0.5814858 ],16.737905732712235,0.0126953125,0.0,34.21063807519175,14.26176262795218,512000.0,9
6,0.6352150032982081,0.068359375,28.879457656340662,40,[0.34144364 0.37907209],17.339000836153197,0.0341796875,0.0,34.21063807519175,13.492924889662753,512000.0,9
7,0.6352150032982081,0.0,26.952916420469677,40,[0.26739187 0.34764789],17.88029249527642,0.0,0.0,34.21063807519175,13.11786102311579,512000.0,9
8,0.6352150032982081,0.0,26.779820106392535,40,[0.60804664 0.61472328],16.326225552569078,0.0,0.0,34.21063807519175,14.647297077034453,512000.0,9
9,0.6352150032982081,0.0,26.779820106392535,40,[0.49170754 0.4864839 ],16.70772294848034,0.0,0.0,34.21063807519175,14.162695437842729,512000.0,9
10,0.6352150032982081,0.0,26.779820106392535,40,[0.34981146 0.32863269],17.247189227830063,0.0,0.0,34.21063807519175,13.366091510279176,512000.0,9
11,0.6352150032982081,0.00390625,26.779820106392535,40,[0.3820269  0.47349439],16.717698616767095,0.001953125,0.0,34.21063807519175,13.846827822901165,512000.0,9
0,0.6352150032982081,0.32421875,31.779820106392535,35,[0.04254857 0.05355401],18.70744184080543,0.1689453125,0.08333333333333333,29.210638075191753,6.595647618438244,512000.0,9
1,0.6352150032982081,0.021484375,31.779820106392535,35,[0.27447745 0.13442948],16.152245548950262,0.0107421875,0.08333333333333333,29.210638075191753,9.497821656361753,512000.0,9
2,0.6352150032982081,0.064453125,31.779820106392535,35,[0.13578239 0.07512661],16.94953959388384,0.0322265625,0.08333333333333333,29.210638075191753,8.143648752529012,512000.0,9
3,0.6352150032982081,0.552734375,33.708438747464555,35,[0.04075867 0.03690552],16.620657224208315,0.3369140625,0.08333333333333333,29.210638075191753,6.156390492667364,512000.0,9
4,0.6352150032982081,0.296875,34.394180312726334,35,[0.04853689 0.06544172],18.628685146556933,0.1650390625,0.08333333333333333,29.210638075191753,6.946454396961955,512000.0,9
5,0.6352150032982081,0.23046875,33.92585265200074,35,[0.13997768 0.09578512],17.396420447846864,0.1201171875,0.08333333333333333,29.210638075191753,8.495345864700184,512000.0,9
6,0.6352150032982081,0.19140625,33.87945765634066,35,[0.11099842 0.14660561],17.088550835722266,0.099609375,0.08333333333333333,29.210638075191753,8.72351167829836,512000.0,9
7,0.6352150032982081,0.302734375,31.952916420469677,35,[0.04087568 0.02665376],19.55487100341049,0.1669921875,0.08333333333333333,29.210638075191753,5.759589720583699,512000.0,9
8,0.6352150032982081,0.01953125,31.779820106392535,35,[0.18997981 0.18377717],16.35005440831533,0.009765625,0.08333333333333333,29.210638075191753,9.572986458028724,512000.0,9
9,0.6352150032982081,0.10546875,31.779820106392535,35,[0.1472982  0.07075114],17.391236627862313,0.0537109375,0.08333333333333333,29.210638075191753,8.117818589481404,512000.0,9
10,0.6352150032982081,0.033203125,31.779820106392535,35,[0.16213343 0.22464118],16.206467038474784,0.0166015625,0.08333333333333333,29.210638075191753,9.590457916362226,512000.0,9
11,0.6352150032982081,0.017578125,31.779820106392535,35,[0.28697224 0.19294214],15.980129280457774,0.0087890625,0.08333333333333333,29.210638075191753,10.03145412823423,512000.0,9
0,0.6352150032982081,0.27734375,36.779820106392535,30,[0.04285962 0.09466936],15.528507096464558,0.146484375,0.16666666666666666,24.210638075191753,4.570255791640735,512000.0,9
1,0.6352150032982081,0.326171875,36.779820106392535,30,[0.0223777  0.04245222],15.865707903542045,0.181640625,0.16666666666666666,24.210638075191753,3.0506398713949494,512000.0,9
2,0.6352150032982081,0.376953125,36.779820106392535,30,[0.06722495 0.03802191],16.479612929022764,0.2119140625,0.16666666666666666,24.210638075191753,4.1477143272947075,512000.0,9
3,0.6352150032982081,0.595703125,38.708438747464555,30,[0.01834051 0.03296708],18.235803422010136,0.376953125,0.16666666666666666,24.210638075191753,2.5774893976073034,512000.0,9
4,0.6352150032982081,0.6484375,39.394180312726334,30,[0.06241833 0.04511441],16.669521505571936,0.400390625,0.16666666666666666,24.210638075191753,4.311371678679515,512000.0,9
5,0.6352150032982081,0.693359375,38.92585265200074,30,[0.00659097 0.0062176 ],18.509357039805884,0.486328125,0.16666666666666666,24.210638075191753,-0.25370355439228715,512000.0,9
6,0.6352150032982081,0.595703125,38.87945765634066,30,[0.01869669 0.02529114],16.013098079263493,0.369140625,0.16666666666666666,24.210638075191753,2.3779407688679015,512000.0,9
7,0.6352150032982081,0.37890625,36.95291642046968,30,[0.06414919 0.03689611],16.65441864445347,0.205078125,0.16666666666666666,24.210638075191753,4.069216123080402,512000.0,9
8,0.6352150032982081,0.380859375,36.779820106392535,30,[0.03402329 0.0506983 ],17.077983470636212,0.2158203125,0.16666666666666666,24.210638075191753,3.764815910708017,512000.0,9
9,0.6352150032982081,0.220703125,36.779820106392535,30,[0.05291854 0.06824425],16.533145117813447,0.1171875,0.16666666666666666,24.210638075191753,4.59246143138556,512000.0,9
10,0.6352150032982081,0.3515625,36.779820106392535,30,[0.04454508 0.01832373],17.268854739554648,0.2099609375,0.16666666666666666,24.210638075191753,2.787830382750997,512000.0,9
11,0.6352150032982081,0.310546875,36.779820106392535,30,[0.02806479 0.04221871],15.638819062496687,0.169921875,0.16666666666666666,24.210638075191753,3.355004882951087,512000.0,9
0,0.6352150032982081,1.0,46.779820106392535,20,[2.51099198e-07 1.28605061e-07],15.227531163966873,0.9765625,0.4166666666666667,14.210638075191753,-28.130772386948692,512000.0,9
1,0.6352150032982081,0.748046875,46.779820106392535,20,[0.04467535 0.02331775],11.522471240481941,0.4951171875,0.4166666666666667,14.210638075191753,-1.852612990051099,512000.0,9
2,0.6352150032982081,0.927734375,46.779820106392535,20,[0.00239665 0.00216884],13.329744034962793,0.716796875,0.4166666666666667,14.210638075191753,-7.497337523668604,512000.0,9
3,0.6352150032982081,0.8828125,48.708438747464555,20,[0.01029333 0.05058935],10.628449349930094,0.6552734375,0.4166666666666667,14.210638075191753,-3.118456170293256,512000.0,9
