Codeword,Es,SER,noise_power,Tx_SNR,Rx_SNR,PL,Avg_BER,BLER,Tx_EbN0,Rx_EbN0,Bit_Rate,N_subcarriers
0,1.4142135623730954,0.0,20.255762612236907,50,[4.43406878 3.99086951],17.01409600324517,0.0,0.0,47.220938031831565,26.842754112143297,512000.0,18
1,1.4142135623730954,0.0,20.255762612236907,50,[4.01338933 3.95849422],17.15849134193042,0.0,0.0,47.220938031831565,26.728639794641538,512000.0,18
2,1.4142135623730954,0.0,20.255762612236907,50,[4.93524875 4.61613929],16.839448941916125,0.0,0.0,47.220938031831565,27.11884530353609,512000.0,18
3,1.4142135623730954,0.0,20.255762612236907,50,[4.50630941 4.1495823 ],17.075404733126817,0.0,0.0,47.220938031831565,26.903805865755245,512000.0,18
4,1.4142135623730954,0.0,20.255762612236907,50,[4.66767755 4.17476595],16.99154898824635,0.0,0.0,47.220938031831565,26.947041417054436,512000.0,18
5,1.4142135623730954,0.0,20.255762612236907,50,[4.17401065 4.42161721],17.037105036233413,0.0,0.0,47.220938031831565,26.890523436669426,512000.0,18
6,1.4142135623730954,0.0,20.255762612236907,50,[3.92604262 3.90531072],17.17054483937909,0.0,0.0,47.220938031831565,26.6901069089231,512000.0,18
7,1.4142135623730954,0.0,20.255762612236907,50,[4.90778257 4.99188434],16.885570101328227,0.0,0.0,47.220938031831565,27.198884217083368,512000.0,18
8,1.4142135623730954,0.0,20.255762612236907,50,[4.76909166 4.92809586],16.868333335970704,0.0,0.0,47.220938031831565,27.153583101237047,512000.0,18
9,1.4142135623730954,0.0,20.255762612236907,50,[3.95539079 4.13392151],17.145511296442535,0.0,0.0,47.220938031831565,26.759438096990635,512000.0,18
10,1.4142135623730954,0.0,20.255762612236907,50,[4.71057502 5.09396487],16.839155387176305,0.0,0.0,47.220938031831565,27.174751249566526,512000.0,18
11,1.4142135623730954,0.0,20.255762612236907,50,[4.57284656 4.55674034],16.86713748972909,0.0,0.0,47.220938031831565,27.02318690813317,512000.0,18
0,1.4142135623730954,0.0,30.255762612236907,40,[0.37890888 0.33482373],17.091437253608753,0.0,0.0,37.220938031831565,16.480315374898773,512000.0,18
1,1.4142135623730954,0.0,30.255762612236907,40,[0.56595351 0.53302796],16.71307254501731,0.0,0.0,37.220938031831565,17.4239398864312,512000.0,18
